                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.58806,                0.33108,                0.83786,                  0.988,                0.97513,                0.98632,                0.82117,                0.53565,                0.27151,                0.84477,               0.002674,               0.002674,               0.002674
                     76,                0.58338,                0.32905,                0.83707,                0.98738,                0.97602,                0.98707,                0.82369,                0.53515,                0.27174,                0.84479,               0.002575,               0.002575,               0.002575
                     77,                 0.5792,                0.32683,                0.83541,                0.98836,                0.97613,                0.98711,                0.82438,                0.53411,                0.27042,                 0.8447,               0.002476,               0.002476,               0.002476
                     78,                0.57558,                0.32465,                0.83467,                0.98745,                0.97372,                0.98686,                0.82453,                0.53272,                0.26697,                0.84477,               0.002377,               0.002377,               0.002377
                     79,                 0.5671,                0.31856,                0.83272,                0.99022,                0.96967,                0.98695,                 0.8274,                0.52954,                0.26596,                0.84418,               0.002278,               0.002278,               0.002278
                     80,                0.56662,                 0.3192,                0.83251,                0.98693,                0.97068,                0.98699,                0.82795,                0.52774,                0.26542,                0.84429,               0.002179,               0.002179,               0.002179
                     81,                0.56408,                0.31635,                0.83155,                0.98839,                0.97502,                0.98719,                0.82786,                0.52755,                0.26512,                0.84399,                0.00208,                0.00208,                0.00208
                     82,                0.55664,                0.31178,                0.83059,                0.98905,                0.97515,                0.98721,                0.82801,                0.52633,                0.26485,                0.84379,               0.001981,               0.001981,               0.001981
                     83,                0.55066,                0.31022,                0.82901,                0.98735,                0.97716,                0.98723,                0.83018,                0.52418,                0.26452,                0.84319,               0.001882,               0.001882,               0.001882
                     84,                0.54677,                0.30819,                0.82801,                0.98715,                0.97797,                0.98703,                0.82668,                0.52135,                0.26168,                0.84249,               0.001783,               0.001783,               0.001783
                     85,                0.54258,                0.30662,                0.82636,                0.98969,                0.97737,                0.98729,                0.83023,                0.51891,                0.26082,                0.84173,               0.001684,               0.001684,               0.001684
                     86,                0.53901,                0.30361,                0.82654,                0.98695,                0.97883,                0.98733,                0.82952,                0.51698,                 0.2592,                0.84152,               0.001585,               0.001585,               0.001585
                     87,                0.53048,                0.29854,                0.82356,                0.98664,                0.97906,                0.98773,                0.83073,                0.51504,                0.25749,                0.84088,               0.001486,               0.001486,               0.001486
                     88,                0.53009,                0.29963,                0.82409,                0.98757,                0.97818,                0.98768,                 0.8311,                0.51367,                0.25629,                0.84102,               0.001387,               0.001387,               0.001387
                     89,                0.52281,                0.29616,                0.82291,                0.98918,                0.97966,                0.98777,                0.83208,                0.51463,                0.25655,                0.84148,               0.001288,               0.001288,               0.001288
                     90,                0.49542,                0.27531,                 0.8115,                0.98623,                0.98001,                0.98737,                0.83065,                0.51658,                 0.2569,                0.84215,               0.001189,               0.001189,               0.001189
                     91,                0.48435,                0.26875,                0.81267,                0.98961,                0.97515,                0.98699,                0.83262,                0.51463,                0.25609,                0.84202,                0.00109,                0.00109,                0.00109
                     92,                 0.4751,                0.26607,                0.81166,                0.98952,                0.97742,                0.98706,                0.83053,                0.51331,                0.25535,                0.84206,               0.000991,               0.000991,               0.000991
                     93,                0.46533,                 0.2621,                0.81008,                0.99169,                0.97527,                0.98723,                0.83269,                0.51221,                0.25529,                0.84222,               0.000892,               0.000892,               0.000892
                     94,                0.46055,                0.26054,                0.80629,                0.98891,                0.97716,                0.98736,                0.83227,                0.51076,                0.25291,                0.84166,               0.000793,               0.000793,               0.000793
                     95,                0.45146,                0.25382,                0.80692,                0.99149,                0.97664,                0.98738,                0.83228,                0.50912,                0.25192,                0.84094,               0.000694,               0.000694,               0.000694
                     96,                0.44637,                0.25174,                0.80435,                0.99191,                 0.9774,                0.98776,                0.83387,                 0.5074,                 0.2507,                0.84035,               0.000595,               0.000595,               0.000595
                     97,                 0.4415,                0.25029,                0.80434,                0.99286,                0.97682,                0.98786,                0.83476,                0.50663,                 0.2502,                0.83986,               0.000496,               0.000496,               0.000496
                     98,                0.43541,                 0.2469,                0.80434,                 0.9931,                0.97698,                 0.9879,                 0.8354,                0.50529,                 0.2499,                0.83946,               0.000397,               0.000397,               0.000397
                     99,                0.42623,                0.24208,                0.80022,                0.99287,                  0.977,                 0.9879,                 0.8357,                0.50401,                0.24994,                0.83932,               0.000298,               0.000298,               0.000298
